,Tipo,Valor
548,Pretest,51.670877627878156
549,Pretest,20.203079563331265
550,Pretest,20.203079563331265
551,Pretest,0
552,Pretest,100
553,Pretest,20.203079563331265
554,Pretest,71.87395719120941
555,Pretest,0
556,Pretest,79.79692043666874
557,Pretest,100
558,Pretest,79.79692043666874
559,Pretest,79.79692043666874
560,Pretest,0
561,Pretest,28.126042808790576
562,Pretest,51.670877627878156
563,Pretest,100
564,Pretest,100
565,Pretest,0
566,Pretest,0
567,Pretest,20.203079563331265
568,Pretest,71.87395719120941
569,Pretest,0
570,Pretest,20.203079563331265
571,Pretest,51.670877627878156
572,Pretest,79.79692043666874
573,Pretest,28.126042808790576
574,Pretest,79.79692043666874
575,Pretest,51.670877627878156
576,Pretest,51.670877627878156
577,Pretest,0
578,Pretest,79.79692043666874
579,Pretest,0
580,Pretest,28.126042808790576
581,Pretest,71.87395719120941
582,Pretest,79.79692043666874
583,Pretest,51.670877627878156
584,Pretest,51.670877627878156
585,Pretest,51.670877627878156
586,Pretest,51.670877627878156
587,Pretest,51.670877627878156
588,Pretest,51.670877627878156
589,Pretest,20.203079563331265
590,Pretest,51.670877627878156
591,Pretest,51.670877627878156
592,Pretest,20.203079563331265
593,Pretest,79.79692043666874
594,Pretest,71.87395719120941
595,Pretest,0
596,Pretest,0
597,Pretest,79.79692043666874
598,Pretest,20.203079563331265
599,Pretest,20.203079563331265
600,Pretest,0
601,Pretest,0
602,Pretest,71.87395719120941
603,Pretest,0
604,Pretest,79.79692043666874
605,Pretest,100
606,Pretest,0
607,Pretest,100
608,Pretest,0
609,Pretest,51.670877627878156
610,Pretest,71.87395719120941
611,Pretest,100
612,Pretest,28.126042808790576
613,Pretest,51.670877627878156
614,Pretest,0
615,Pretest,0
616,Pretest,28.126042808790576
617,Pretest,0
618,Pretest,0
619,Pretest,51.670877627878156
620,Pretest,28.126042808790576
621,Pretest,71.87395719120941
622,Pretest,0
623,Pretest,51.670877627878156
624,Pretest,51.670877627878156
625,Pretest,28.126042808790576
626,Pretest,100
627,Pretest,71.87395719120941
628,Pretest,51.670877627878156
629,Pretest,51.670877627878156
630,Pretest,100
631,Pretest,100
632,Pretest,79.79692043666874
633,Pretest,20.203079563331265
634,Pretest,0
635,Pretest,71.87395719120941
636,Pretest,51.670877627878156
637,Pretest,100
638,Pretest,48.329122372121844
639,Pretest,51.670877627878156
640,Pretest,0
641,Pretest,51.670877627878156
642,Pretest,20.203079563331265
643,Pretest,51.670877627878156
644,Pretest,20.203079563331265
645,Pretest,28.126042808790576
646,Pretest,28.126042808790576
647,Pretest,51.670877627878156
648,Pretest,51.670877627878156
649,Pretest,71.87395719120941
650,Pretest,79.79692043666874
651,Pretest,20.203079563331265
652,Pretest,0
653,Pretest,51.670877627878156
654,Pretest,51.670877627878156
655,Pretest,51.670877627878156
656,Pretest,51.670877627878156
657,Pretest,71.87395719120941
658,Pretest,51.670877627878156
659,Pretest,0
660,Pretest,51.670877627878156
661,Pretest,48.329122372121844
662,Pretest,20.203079563331265
663,Pretest,71.87395719120941
664,Pretest,0
665,Pretest,0
666,Pretest,71.87395719120941
667,Pretest,0
668,Pretest,0
669,Pretest,28.126042808790576
670,Pretest,20.203079563331265
671,Pretest,51.670877627878156
672,Pretest,79.79692043666874
673,Pretest,51.670877627878156
674,Pretest,100
675,Pretest,28.126042808790576
676,Pretest,71.87395719120941
677,Pretest,0
678,Pretest,51.670877627878156
679,Pretest,51.670877627878156
680,Pretest,0
681,Pretest,71.87395719120941
682,Pretest,51.670877627878156
683,Pretest,28.126042808790576
684,Pretest,0
685,Pretest,51.670877627878156
686,Pretest,51.670877627878156
687,Pretest,51.670877627878156
688,Pretest,20.203079563331265
689,Pretest,51.670877627878156
690,Pretest,0
691,Pretest,0
692,Pretest,71.87395719120941
693,Pretest,0
694,Pretest,28.126042808790576
695,Pretest,0
696,Pretest,79.79692043666874
697,Pretest,71.87395719120941
698,Pretest,20.203079563331265
699,Pretest,100
700,Pretest,0
