,Género,Nivel,Tipo de test,Valor
436,Masculino,Inicial,Pretest,78.82606023355869
437,Masculino,Inicial,Pretest,78.82606023355869
438,Femenino,Inicial,Pretest,78.81837738168407
439,Femenino,Inicial,Pretest,78.7338660110633
440,Masculino,Inicial,Pretest,78.64935464044254
441,Masculino,Inicial,Pretest,78.64167178856792
442,Masculino,Inicial,Pretest,78.37277197295636
443,Masculino,Inicial,Pretest,78.31899200983405
444,Masculino,Inicial,Pretest,78.24216349108791
445,Masculino,Inicial,Pretest,78.14996926859249
446,Masculino,Inicial,Pretest,78.1422864167179
447,Masculino,Inicial,Pretest,78.1422864167179
448,Masculino,Inicial,Pretest,77.95789797172709
449,Masculino,Inicial,Pretest,77.95789797172709
450,Masculino,Inicial,Pretest,77.95789797172709
451,Femenino,Inicial,Pretest,77.8657037492317
452,Masculino,Inicial,Pretest,77.85802089735708
453,Masculino,Inicial,Pretest,77.8119237861094
454,Femenino,Inicial,Pretest,77.8119237861094
455,Femenino,Inicial,Pretest,77.8119237861094
456,Femenino,Inicial,Pretest,77.71972956361401
457,Femenino,Inicial,Pretest,77.67363245236632
458,Masculino,Inicial,Pretest,77.5737553779963
459,Masculino,Inicial,Pretest,77.5737553779963
460,Masculino,Inicial,Pretest,77.5737553779963
461,Masculino,Inicial,Pretest,77.5737553779963
462,Masculino,Inicial,Pretest,77.5737553779963
463,Masculino,Inicial,Pretest,77.45082974800246
464,Masculino,Inicial,Pretest,77.45082974800246
465,Masculino,Inicial,Pretest,77.45082974800246
466,Masculino,Inicial,Pretest,77.38168408113091
467,Femenino,Inicial,Pretest,77.35863552550705
468,Masculino,Inicial,Pretest,77.35095267363245
469,Femenino,Inicial,Pretest,77.21266133988935
470,Femenino,Inicial,Pretest,77.1819299323909
471,Masculino,Inicial,Pretest,77.16656422864168
472,Masculino,Inicial,Pretest,77.16656422864168
473,Femenino,Inicial,Pretest,77.09741856177013
474,Masculino,Inicial,Pretest,77.08973570989552
475,Femenino,Inicial,Pretest,77.07437000614628
476,Masculino,Avanzado,Pretest,77.06668715427168
477,Femenino,Inicial,Pretest,77.06668715427168
478,Masculino,Inicial,Pretest,77.06668715427168
479,Femenino,Inicial,Pretest,76.98985863552551
480,Masculino,Avanzado,Pretest,76.9437615242778
481,Masculino,Inicial,Pretest,76.92839582052858
482,Masculino,Avanzado,Pretest,76.90534726490473
483,Masculino,Inicial,Pretest,76.90534726490473
484,Masculino,Inicial,Pretest,76.89766441303011
485,Masculino,Inicial,Pretest,76.89766441303011
486,Masculino,Inicial,Pretest,76.89766441303011
487,Masculino,Inicial,Pretest,76.85156730178241
488,Masculino,Inicial,Pretest,76.82851874615857
489,Femenino,Inicial,Pretest,76.80547019053473
490,Masculino,Inicial,Pretest,76.80547019053473
491,Masculino,Inicial,Pretest,76.71327596803933
492,Femenino,Inicial,Pretest,76.67486170866627
493,Femenino,Avanzado,Pretest,76.65949600491703
494,Masculino,Avanzado,Pretest,76.61339889366933
